finishing_pos,circuit_id,driver_id,constructor_id,grid_pos,status,fastest_lap_missing,fastest_lap,fastest_lap_avg_speed
1,hungaroring,webber,red_bull,2,Finished,0,1:22.651,190.821
2,hungaroring,alonso,ferrari,3,Finished,0,1:23.195,189.573
3,hungaroring,vettel,red_bull,1,Finished,0,1:22.362,191.491
4,hungaroring,massa,ferrari,4,Finished,0,1:23.329,189.269
5,hungaroring,petrov,renault,7,Finished,0,1:23.799,188.207
6,hungaroring,hulkenberg,williams,10,Finished,0,1:24.204,187.302
7,hungaroring,rosa,sauber,9,Finished,0,1:24.342,186.995
8,hungaroring,button,mclaren,11,Finished,0,1:24.205,187.300
9,hungaroring,kobayashi,sauber,23,Finished,0,1:24.282,187.128
10,hungaroring,barrichello,williams,12,Finished,0,1:22.811,190.452
11,hungaroring,michael_schumacher,mercedes,14,Finished,0,1:25.372,184.739
12,hungaroring,buemi,toro_rosso,15,Finished,0,1:25.449,184.573
13,hungaroring,liuzzi,force_india,16,Finished,0,1:25.358,184.770
14,hungaroring,kovalainen,lotus_racing,19,Finished,0,1:27.457,180.335
15,hungaroring,trulli,lotus_racing,20,Finished,0,1:27.429,180.393
16,hungaroring,glock,virgin,18,Finished,0,1:27.674,179.889
17,hungaroring,bruno_senna,hrt,22,Finished,0,1:28.093,179.033
18,hungaroring,grassi,virgin,21,Finished,0,1:27.287,180.686
19,hungaroring,yamamoto,hrt,24,Finished,0,1:29.278,176.657
20,hungaroring,hamilton,mclaren,5,Gearbox,0,1:26.258,182.842
21,hungaroring,kubica,renault,8,Retired,0,1:26.825,181.648
22,hungaroring,rosberg,mercedes,6,Wheel,0,1:27.954,179.316
23,hungaroring,sutil,force_india,13,Collision,0,1:28.177,178.862
24,hungaroring,alguersuari,toro_rosso,17,Engine,1,300,0
1,ricard,max_verstappen,red_bull,1,Finished,0,1:36.404,218.156
2,ricard,hamilton,mercedes,2,Finished,0,1:37.410,215.903
3,ricard,perez,red_bull,4,Finished,0,1:36.693,217.504
4,ricard,bottas,mercedes,3,Finished,0,1:36.960,216.905
5,ricard,norris,mclaren,8,Finished,0,1:37.425,215.870
6,ricard,ricciardo,mclaren,10,Finished,0,1:38.324,213.896
7,ricard,gasly,alphatauri,6,Finished,0,1:38.103,214.378
8,ricard,alonso,alpine,9,Finished,0,1:37.646,215.382
9,ricard,vettel,aston_martin,12,Finished,0,1:37.138,216.508
10,ricard,stroll,aston_martin,19,Finished,0,1:37.828,214.981
11,ricard,sainz,ferrari,5,Finished,0,1:38.931,212.584
12,ricard,russell,williams,14,Finished,0,1:38.314,213.918
13,ricard,tsunoda,alphatauri,0,Finished,0,1:38.980,212.479
14,ricard,ocon,alpine,11,Finished,0,1:38.645,213.200
15,ricard,giovinazzi,alfa,13,Finished,0,1:38.702,213.077
16,ricard,leclerc,ferrari,7,Finished,0,1:37.681,215.304
17,ricard,raikkonen,alfa,17,Finished,0,1:37.992,214.621
18,ricard,latifi,williams,16,Finished,0,1:38.313,213.920
19,ricard,mick_schumacher,haas,15,Finished,0,1:38.847,212.765
20,ricard,mazepin,haas,18,Finished,0,1:39.317,211.758
1,sepang,alonso,mclaren,2,Finished,0,1:36.861,206.014
2,sepang,hamilton,mclaren,4,Finished,0,1:36.701,206.355
3,sepang,raikkonen,ferrari,3,Finished,0,1:37.228,205.237
4,sepang,heidfeld,bmw_sauber,5,Finished,0,1:37.417,204.838
5,sepang,massa,ferrari,1,Finished,0,1:37.199,205.298
6,sepang,fisichella,renault,12,Finished,0,1:37.879,203.872
7,sepang,trulli,toyota,8,Finished,0,1:38.016,203.587
8,sepang,kovalainen,renault,11,Finished,0,1:37.810,204.015
9,sepang,wurz,williams,19,Finished,0,1:37.864,203.903
10,sepang,webber,red_bull,10,Finished,0,1:38.540,202.504
11,sepang,barrichello,honda,22,Finished,0,1:38.566,202.451
12,sepang,button,honda,15,Finished,0,1:38.658,202.262
13,sepang,sato,super_aguri,14,Finished,0,1:38.496,202.595
14,sepang,speed,toro_rosso,17,Finished,0,1:39.098,201.364
15,sepang,ralf_schumacher,toyota,9,Finished,0,1:39.243,201.070
16,sepang,davidson,super_aguri,18,Finished,0,1:39.566,200.417
17,sepang,liuzzi,toro_rosso,16,Finished,0,1:38.447,202.695
18,sepang,kubica,bmw_sauber,7,Finished,0,1:38.874,201.820
19,sepang,rosberg,williams,6,Hydraulics,0,1:37.704,204.237
20,sepang,coulthard,red_bull,13,Brakes,0,1:38.098,203.416
21,sepang,albers,spyker,20,Engine,0,1:41.495,196.608
22,sepang,sutil,spyker,21,Collision,1,300,0
1,catalunya,max_verstappen,red_bull,4,Finished,0,1:28.816,188.682
2,catalunya,raikkonen,ferrari,5,Finished,0,1:28.538,189.274
3,catalunya,vettel,ferrari,6,Finished,0,1:27.974,190.488
4,catalunya,ricciardo,red_bull,3,Finished,0,1:28.209,189.980
5,catalunya,bottas,williams,7,Finished,0,1:29.081,188.120
6,catalunya,sainz,toro_rosso,8,Finished,0,1:29.663,186.899
7,catalunya,perez,force_india,9,Finished,0,1:29.801,186.612
8,catalunya,massa,williams,18,Finished,0,1:29.238,187.789
9,catalunya,button,mclaren,12,Finished,0,1:30.260,185.663
10,catalunya,kvyat,toro_rosso,13,Finished,0,1:26.948,192.735
11,catalunya,gutierrez,haas,16,Finished,0,1:30.139,185.912
12,catalunya,ericsson,sauber,19,Finished,0,1:29.715,186.791
13,catalunya,jolyon_palmer,renault,17,Finished,0,1:29.779,186.658
14,catalunya,kevin_magnussen,renault,15,Finished,0,1:28.716,188.894
15,catalunya,nasr,sauber,20,Finished,0,1:29.905,186.396
16,catalunya,wehrlein,manor,21,Finished,0,1:31.182,183.786
17,catalunya,haryanto,manor,22,Finished,0,1:29.402,187.445
18,catalunya,grosjean,haas,14,Engine,0,1:28.974,188.347
19,catalunya,alonso,mclaren,10,Engine,0,1:29.750,186.718
20,catalunya,hulkenberg,force_india,11,Engine,0,1:31.810,182.529
21,catalunya,hamilton,mercedes,1,Collision,1,300,0
22,catalunya,rosberg,mercedes,2,Collision,1,300,0
1,suzuka,max_verstappen,red_bull,1,Finished,0,1:44.911,199.266
2,suzuka,perez,red_bull,4,Finished,0,1:46.120,196.995
3,suzuka,leclerc,ferrari,2,Finished,0,1:44.489,200.070
4,suzuka,ocon,alpine,5,Finished,0,1:46.559,196.184
5,suzuka,hamilton,mercedes,6,Finished,0,1:45.530,198.097
6,suzuka,vettel,aston_martin,9,Finished,0,1:46.964,195.441
7,suzuka,alonso,alpine,7,Finished,0,1:44.412,200.218
8,suzuka,russell,mercedes,8,Finished,0,1:47.004,195.368
9,suzuka,latifi,williams,20,Finished,0,1:48.371,192.904
10,suzuka,norris,mclaren,10,Finished,0,1:48.175,193.253
11,suzuka,ricciardo,mclaren,11,Finished,0,1:47.843,193.848
12,suzuka,stroll,aston_martin,19,Finished,0,1:45.205,198.709
13,suzuka,tsunoda,alphatauri,13,Finished,0,1:45.893,197.418
14,suzuka,kevin_magnussen,haas,18,Finished,0,1:48.072,193.437
15,suzuka,bottas,alfa,12,Finished,0,1:47.820,193.889
16,suzuka,zhou,alfa,14,Finished,0,1:44.411,200.220
17,suzuka,mick_schumacher,haas,15,Finished,0,1:45.387,198.366
18,suzuka,gasly,alphatauri,17,Finished,0,1:46.545,196.210
19,suzuka,sainz,ferrari,3,Accident,1,300,0
20,suzuka,albon,williams,16,Hydraulics,1,300,0
1,catalunya,raikkonen,ferrari,1,Finished,0,1:21.670,205.191
2,catalunya,massa,ferrari,3,Finished,0,1:21.801,204.863
3,catalunya,hamilton,mclaren,5,Finished,0,1:22.017,204.323
4,catalunya,kubica,bmw_sauber,4,Finished,0,1:22.106,204.102
5,catalunya,webber,red_bull,7,Finished,0,1:22.564,202.969
6,catalunya,button,honda,13,Finished,0,1:22.353,203.489
7,catalunya,nakajima,williams,12,Finished,0,1:23.549,200.576
8,catalunya,trulli,toyota,8,Finished,0,1:22.758,202.494
9,catalunya,heidfeld,bmw_sauber,9,Finished,0,1:22.519,203.080
10,catalunya,fisichella,force_india,19,Finished,0,1:23.439,200.841
11,catalunya,glock,toyota,14,Finished,0,1:23.007,201.886
12,catalunya,coulthard,red_bull,17,Finished,0,1:22.842,202.288
13,catalunya,sato,super_aguri,22,Finished,0,1:24.617,198.045
14,catalunya,rosberg,williams,15,Engine,0,1:23.319,201.130
15,catalunya,alonso,renault,2,Engine,0,1:22.683,202.677
16,catalunya,barrichello,honda,11,Collision,0,1:23.858,199.837
17,catalunya,kovalainen,mclaren,6,Accident,0,1:22.453,203.243
18,catalunya,davidson,super_aguri,21,Radiator,0,1:26.864,192.922
19,catalunya,bourdais,toro_rosso,16,Collision,0,1:25.999,194.862
20,catalunya,piquet_jr,renault,10,Collision,0,1:25.444,196.128
21,catalunya,sutil,force_india,20,Collision,1,300,0
22,catalunya,vettel,toro_rosso,18,Collision,1,300,0
1,shanghai,hamilton,mercedes,2,Finished,0,1:35.892,204.642
2,shanghai,bottas,mercedes,1,Finished,0,1:34.872,206.842
3,shanghai,vettel,ferrari,3,Finished,0,1:34.836,206.921
4,shanghai,max_verstappen,red_bull,5,Finished,0,1:36.143,204.108
5,shanghai,leclerc,ferrari,4,Finished,0,1:34.860,206.869
6,shanghai,gasly,red_bull,6,Finished,0,1:34.742,207.126
7,shanghai,ricciardo,renault,7,Finished,0,1:38.632,198.957
8,shanghai,perez,racing_point,12,Finished,0,1:38.702,198.816
9,shanghai,raikkonen,alfa,13,Finished,0,1:37.812,200.625
10,shanghai,albon,toro_rosso,0,Finished,0,1:38.901,198.416
11,shanghai,grosjean,haas,10,Finished,0,1:36.873,202.570
12,shanghai,stroll,racing_point,16,Finished,0,1:36.678,202.978
13,shanghai,kevin_magnussen,haas,9,Finished,0,1:37.471,201.327
14,shanghai,sainz,mclaren,14,Finished,0,1:37.502,201.263
15,shanghai,giovinazzi,alfa,19,Finished,0,1:38.048,200.142
16,shanghai,russell,williams,17,Finished,0,1:37.283,201.716
17,shanghai,kubica,williams,18,Finished,0,1:39.772,196.684
18,shanghai,norris,mclaren,15,Collision,0,1:38.346,199.536
19,shanghai,kvyat,toro_rosso,11,Collision,0,1:37.975,200.291
20,shanghai,hulkenberg,renault,8,Power Unit,0,1:39.677,196.871
1,bahrain,alonso,ferrari,3,Finished,0,1:58.287,191.706
2,bahrain,massa,ferrari,2,Finished,0,1:59.732,189.392
3,bahrain,hamilton,mclaren,4,Finished,0,1:59.560,189.665
4,bahrain,vettel,red_bull,1,Finished,0,2:00.218,188.627
5,bahrain,rosberg,mercedes,5,Finished,0,2:00.236,188.599
6,bahrain,michael_schumacher,mercedes,7,Finished,0,2:00.204,188.649
7,bahrain,button,mclaren,8,Finished,0,1:59.970,189.017
8,bahrain,webber,red_bull,6,Finished,0,1:59.487,189.781
9,bahrain,liuzzi,force_india,12,Finished,0,1:59.906,189.118
10,bahrain,barrichello,williams,11,Finished,0,1:59.833,189.233
11,bahrain,kubica,renault,9,Finished,0,2:00.474,188.226
12,bahrain,sutil,force_india,10,Finished,0,1:59.393,189.930
13,bahrain,alguersuari,toro_rosso,18,Finished,0,1:59.964,189.026
14,bahrain,hulkenberg,williams,13,Finished,0,2:01.401,186.789
15,bahrain,kovalainen,lotus_racing,21,Finished,0,2:02.701,184.810
16,bahrain,buemi,toro_rosso,15,Electrical,0,2:00.080,188.844
17,bahrain,trulli,lotus_racing,20,Hydraulics,0,2:02.930,184.465
18,bahrain,rosa,sauber,14,Hydraulics,0,2:01.650,186.406
19,bahrain,bruno_senna,hrt,23,Overheating,0,2:09.127,175.613
20,bahrain,glock,virgin,19,Gearbox,0,2:07.062,178.467
21,bahrain,petrov,renault,17,Suspension,0,2:04.307,182.422
22,bahrain,kobayashi,sauber,16,Hydraulics,0,2:05.044,181.347
23,bahrain,grassi,virgin,22,Hydraulics,0,2:09.361,175.295
24,bahrain,chandhok,hrt,24,Accident,1,300,0
1,villeneuve,max_verstappen,red_bull,1,Finished,0,1:15.594,207.683
2,villeneuve,alonso,aston_martin,2,Finished,0,1:15.779,207.176
3,villeneuve,hamilton,mercedes,3,Finished,0,1:15.396,208.228
4,villeneuve,leclerc,ferrari,10,Finished,0,1:15.907,206.826
5,villeneuve,sainz,ferrari,11,Finished,0,1:15.911,206.815
6,villeneuve,perez,red_bull,12,Finished,0,1:14.481,210.786
7,villeneuve,albon,williams,9,Finished,0,1:16.917,204.110
8,villeneuve,ocon,alpine,6,Finished,0,1:16.782,204.469
9,villeneuve,stroll,aston_martin,16,Finished,0,1:16.564,205.051
10,villeneuve,bottas,alfa,14,Finished,0,1:16.625,204.888
11,villeneuve,piastri,mclaren,8,Finished,0,1:16.598,204.960
12,villeneuve,gasly,alpine,15,Finished,0,1:16.425,205.424
13,villeneuve,norris,mclaren,7,Finished,0,1:16.374,205.562
14,villeneuve,tsunoda,alphatauri,19,Finished,0,1:16.666,204.779
15,villeneuve,hulkenberg,haas,5,Finished,0,1:17.232,203.278
16,villeneuve,zhou,alfa,20,Finished,0,1:17.090,203.652
17,villeneuve,kevin_magnussen,haas,13,Finished,0,1:16.126,206.231
18,villeneuve,de_vries,alphatauri,17,Finished,0,1:16.656,204.805
19,villeneuve,russell,mercedes,4,Brakes,0,1:17.097,203.634
20,villeneuve,sargeant,williams,18,Engine,0,1:18.437,200.155
1,monza,hamilton,mclaren,1,Finished,0,1:28.427,235.841
2,monza,perez,sauber,12,Finished,0,1:27.562,238.171
3,monza,alonso,ferrari,10,Finished,0,1:28.835,234.758
4,monza,massa,ferrari,3,Finished,0,1:28.914,234.550
5,monza,raikkonen,lotus_f1,7,Finished,0,1:29.109,234.036
6,monza,michael_schumacher,mercedes,4,Finished,0,1:27.718,237.748
7,monza,rosberg,mercedes,6,Finished,0,1:27.239,239.053
8,monza,resta,force_india,9,Finished,0,1:29.068,234.144
9,monza,kobayashi,sauber,8,Finished,0,1:29.032,234.239
10,monza,bruno_senna,williams,13,Finished,0,1:28.742,235.004
11,monza,maldonado,williams,22,Finished,0,1:28.053,236.843
12,monza,ricciardo,toro_rosso,14,Finished,0,1:28.621,235.325
13,monza,ambrosio,lotus_f1,15,Finished,0,1:28.677,235.177
14,monza,kovalainen,caterham,17,Finished,0,1:29.399,233.277
15,monza,petrov,caterham,18,Finished,0,1:29.066,234.149
16,monza,pic,marussia,20,Finished,0,1:29.753,232.357
17,monza,glock,marussia,19,Finished,0,1:29.888,232.008
18,monza,rosa,hrt,23,Finished,0,1:30.398,230.699
19,monza,karthikeyan,hrt,21,Finished,0,1:31.086,228.957
20,monza,webber,red_bull,11,Vibrations,0,1:29.202,233.792
21,monza,hulkenberg,force_india,24,Brakes,0,1:28.578,235.439
22,monza,vettel,red_bull,5,Alternator,0,1:28.713,235.081
23,monza,button,mclaren,2,Fuel pressure,0,1:28.926,234.518
24,monza,vergne,toro_rosso,16,Suspension,0,1:31.962,226.776
1,silverstone,hamilton,mercedes,2,Finished,0,1:29.438,237.120
2,silverstone,max_verstappen,red_bull,4,Finished,0,1:28.952,238.416
3,silverstone,norris,mclaren,3,Finished,0,1:29.262,237.588
4,silverstone,piastri,mclaren,5,Finished,0,1:28.748,238.964
5,silverstone,sainz,ferrari,7,Finished,0,1:28.293,240.195
6,silverstone,hulkenberg,haas,6,Finished,0,1:29.836,236.070
7,silverstone,stroll,aston_martin,8,Finished,0,1:29.897,235.909
8,silverstone,alonso,aston_martin,10,Finished,0,1:29.710,236.401
9,silverstone,albon,williams,9,Finished,0,1:29.718,236.380
10,silverstone,tsunoda,rb,13,Finished,0,1:30.229,235.041
11,silverstone,sargeant,williams,12,Finished,0,1:29.972,235.713
12,silverstone,kevin_magnussen,haas,17,Finished,0,1:30.093,235.396
13,silverstone,ricciardo,rb,15,Finished,0,1:30.735,233.731
14,silverstone,leclerc,ferrari,11,Finished,0,1:29.748,236.301
15,silverstone,bottas,sauber,16,Finished,0,1:31.277,232.343
16,silverstone,ocon,alpine,18,Finished,0,1:30.875,233.371
17,silverstone,perez,red_bull,0,Finished,0,1:29.707,236.409
18,silverstone,zhou,sauber,14,Finished,0,1:31.014,233.014
19,silverstone,russell,mercedes,1,Water pressure,0,1:31.298,232.289
20,silverstone,gasly,alpine,19,Gearbox,1,300,0
1,yas_marina,hamilton,mercedes,2,Finished,0,1:45.599,189.342
2,yas_marina,massa,williams,4,Finished,0,1:44.826,190.738
3,yas_marina,bottas,williams,3,Finished,0,1:45.727,189.113
4,yas_marina,ricciardo,red_bull,20,Finished,0,1:44.496,191.341
5,yas_marina,button,mclaren,6,Finished,0,1:46.739,187.320
6,yas_marina,hulkenberg,force_india,12,Finished,0,1:45.777,189.024
7,yas_marina,perez,force_india,11,Finished,0,1:45.808,188.968
8,yas_marina,vettel,red_bull,19,Finished,0,1:45.552,189.427
9,yas_marina,alonso,ferrari,8,Finished,0,1:47.424,186.126
10,yas_marina,raikkonen,ferrari,7,Finished,0,1:47.736,185.586
11,yas_marina,kevin_magnussen,mclaren,9,Finished,0,1:46.824,187.171
12,yas_marina,vergne,toro_rosso,10,Finished,0,1:45.686,189.186
13,yas_marina,grosjean,lotus_f1,18,Finished,0,1:47.897,185.310
14,yas_marina,rosberg,mercedes,1,Finished,0,1:46.869,187.092
15,yas_marina,gutierrez,sauber,14,Finished,0,1:47.698,185.652
16,yas_marina,sutil,sauber,13,Finished,0,1:47.508,185.980
17,yas_marina,stevens,caterham,17,Finished,0,1:48.398,184.453
18,yas_marina,kobayashi,caterham,16,Retired,0,1:47.431,186.113
19,yas_marina,maldonado,lotus_f1,15,Power Unit,0,1:48.933,183.547
20,yas_marina,kvyat,toro_rosso,5,Power Unit,0,1:48.748,183.859
1,marina_bay,vettel,red_bull,1,Finished,0,1:48.688,168.029
2,marina_bay,button,mclaren,3,Finished,0,1:48.454,168.392
3,marina_bay,webber,red_bull,2,Finished,0,1:50.088,165.892
4,marina_bay,alonso,ferrari,5,Finished,0,1:50.891,164.691
5,marina_bay,hamilton,mclaren,4,Finished,0,1:50.832,164.779
6,marina_bay,resta,force_india,10,Finished,0,1:54.239,159.864
7,marina_bay,rosberg,mercedes,7,Finished,0,1:54.383,159.663
8,marina_bay,sutil,force_india,9,Finished,0,1:54.564,159.411
9,marina_bay,massa,ferrari,6,Finished,0,1:52.550,162.263
10,marina_bay,perez,sauber,11,Finished,0,1:54.615,159.340
11,marina_bay,maldonado,williams,13,Finished,0,1:53.198,161.335
12,marina_bay,buemi,toro_rosso,14,Finished,0,1:52.197,162.774
13,marina_bay,barrichello,williams,12,Finished,0,1:55.235,158.483
14,marina_bay,kobayashi,sauber,17,Finished,0,1:51.329,164.043
15,marina_bay,bruno_senna,renault,15,Finished,0,1:53.774,160.518
16,marina_bay,kovalainen,lotus_racing,19,Finished,0,1:54.063,160.111
17,marina_bay,petrov,renault,18,Finished,0,1:54.204,159.913
18,marina_bay,ambrosio,virgin,22,Finished,0,1:58.730,153.817
19,marina_bay,ricciardo,hrt,23,Finished,0,1:59.064,153.386
20,marina_bay,liuzzi,hrt,24,Finished,0,1:58.283,154.399
21,marina_bay,alguersuari,toro_rosso,16,Accident,0,1:53.676,160.656
22,marina_bay,trulli,lotus_racing,20,Gearbox,0,1:57.126,155.924
23,marina_bay,michael_schumacher,mercedes,8,Accident,0,1:53.096,161.480
24,marina_bay,glock,virgin,21,Accident,0,2:00.412,151.669
1,sochi,bottas,mercedes,3,Finished,0,1:37.367,216.221
2,sochi,vettel,ferrari,1,Finished,0,1:37.312,216.343
3,sochi,raikkonen,ferrari,2,Finished,0,1:36.844,217.388
4,sochi,hamilton,mercedes,4,Finished,0,1:38.398,213.955
5,sochi,max_verstappen,red_bull,7,Finished,0,1:38.429,213.888
6,sochi,perez,force_india,9,Finished,0,1:38.661,213.385
7,sochi,ocon,force_india,10,Finished,0,1:38.745,213.203
8,sochi,hulkenberg,renault,8,Finished,0,1:38.418,213.912
9,sochi,massa,williams,6,Finished,0,1:38.232,214.317
10,sochi,sainz,toro_rosso,14,Finished,0,1:38.858,212.960
11,sochi,stroll,williams,11,Finished,0,1:38.870,212.934
12,sochi,kvyat,toro_rosso,12,Finished,0,1:38.300,214.168
13,sochi,kevin_magnussen,haas,13,Finished,0,1:39.566,211.445
14,sochi,vandoorne,mclaren,20,Finished,0,1:39.790,210.971
15,sochi,ericsson,sauber,18,Finished,0,1:39.835,210.875
16,sochi,wehrlein,sauber,17,Finished,0,1:40.922,208.604
17,sochi,ricciardo,red_bull,5,Brakes,0,1:42.285,205.824
18,sochi,jolyon_palmer,renault,16,Collision,1,300,0
19,sochi,grosjean,haas,19,Collision,1,300,0
20,sochi,alonso,mclaren,15,Power Unit,1,300,0
1,albert_park,alonso,renault,3,Finished,0,1:26.189,221.499
2,albert_park,raikkonen,mclaren,4,Finished,0,1:26.045,221.869
3,albert_park,ralf_schumacher,toyota,6,Finished,0,1:27.810,217.410
4,albert_park,heidfeld,bmw_sauber,8,Finished,0,1:27.700,217.683
5,albert_park,fisichella,renault,2,Finished,0,1:27.561,218.028
6,albert_park,villeneuve,bmw_sauber,19,Finished,0,1:28.321,216.152
7,albert_park,barrichello,honda,16,Finished,0,1:27.690,217.707
8,albert_park,coulthard,red_bull,11,Finished,0,1:28.250,216.326
9,albert_park,speed,toro_rosso,18,Finished,0,1:28.367,216.039
10,albert_park,button,honda,1,Finished,0,1:27.799,217.437
11,albert_park,albers,mf1,17,Finished,0,1:29.238,213.931
12,albert_park,sato,super_aguri,21,Finished,0,1:30.574,210.775
13,albert_park,ide,super_aguri,22,Finished,0,1:33.737,203.663
14,albert_park,montoya,mclaren,5,Electrical,0,1:27.464,218.270
15,albert_park,monteiro,mf1,20,Mechanical,0,1:29.687,212.860
16,albert_park,liuzzi,toro_rosso,12,Accident,0,1:27.988,216.970
17,albert_park,michael_schumacher,ferrari,10,Accident,0,1:27.180,218.981
18,albert_park,webber,williams,7,Transmission,0,1:27.800,217.435
19,albert_park,klien,red_bull,13,Accident,0,1:41.351,188.363
20,albert_park,trulli,toyota,9,Accident,1,300,0
21,albert_park,rosberg,williams,14,Accident,1,300,0
22,albert_park,massa,ferrari,15,Accident,1,300,0
1,catalunya,hamilton,mercedes,1,Finished,0,1:19.822,209.942
2,catalunya,max_verstappen,red_bull,3,Finished,0,1:21.477,205.677
3,catalunya,bottas,mercedes,2,Finished,0,1:18.183,214.343
4,catalunya,stroll,racing_point,5,Finished,0,1:22.024,204.306
5,catalunya,perez,racing_point,4,Finished,0,1:22.515,203.090
6,catalunya,sainz,mclaren,7,Finished,0,1:21.771,204.938
7,catalunya,vettel,ferrari,11,Finished,0,1:22.707,202.618
8,catalunya,albon,red_bull,6,Finished,0,1:22.194,203.883
9,catalunya,gasly,alphatauri,10,Finished,0,1:22.543,203.021
10,catalunya,norris,mclaren,8,Finished,0,1:22.392,203.393
11,catalunya,ricciardo,renault,13,Finished,0,1:22.464,203.215
12,catalunya,kvyat,alphatauri,12,Finished,0,1:22.336,203.531
13,catalunya,ocon,renault,15,Finished,0,1:22.174,203.933
14,catalunya,raikkonen,alfa,14,Finished,0,1:21.888,204.645
15,catalunya,kevin_magnussen,haas,16,Finished,0,1:23.474,200.757
16,catalunya,giovinazzi,alfa,20,Finished,0,1:21.801,204.863
17,catalunya,russell,williams,18,Finished,0,1:22.503,203.119
18,catalunya,latifi,williams,19,Finished,0,1:22.030,204.291
19,catalunya,grosjean,haas,17,Finished,0,1:20.409,208.409
20,catalunya,leclerc,ferrari,9,Electronics,0,1:23.968,199.576
1,americas,hamilton,mercedes,1,Finished,0,1:42.386,193.842
2,americas,rosberg,mercedes,2,Finished,0,1:41.897,194.773
3,americas,ricciardo,red_bull,3,Finished,0,1:42.555,193.523
4,americas,vettel,ferrari,6,Finished,0,1:39.877,198.712
5,americas,alonso,mclaren,12,Finished,0,1:43.502,191.752
6,americas,sainz,toro_rosso,10,Finished,0,1:42.832,193.002
7,americas,massa,williams,9,Finished,0,1:43.414,191.915
8,americas,perez,force_india,11,Finished,0,1:43.925,190.972
9,americas,button,mclaren,19,Finished,0,1:44.468,189.979
10,americas,grosjean,haas,17,Finished,0,1:44.335,190.221
11,americas,kvyat,toro_rosso,13,Finished,0,1:42.475,193.674
12,americas,kevin_magnussen,renault,18,Finished,0,1:44.730,189.504
13,americas,jolyon_palmer,renault,15,Finished,0,1:44.724,189.515
14,americas,ericsson,sauber,16,Finished,0,1:45.140,188.765
15,americas,nasr,sauber,21,Finished,0,1:44.117,190.620
16,americas,bottas,williams,8,Finished,0,1:44.977,189.058
17,americas,wehrlein,manor,20,Finished,0,1:45.451,188.208
18,americas,ocon,manor,22,Finished,0,1:43.585,191.599
19,americas,raikkonen,ferrari,5,Wheel,0,1:41.841,194.880
20,americas,max_verstappen,red_bull,4,Gearbox,0,1:42.424,193.770
21,americas,gutierrez,haas,14,Brakes,0,1:45.364,188.364
22,americas,hulkenberg,force_india,7,Collision,1,300,0
1,villeneuve,max_verstappen,red_bull,1,Finished,0,1:15.839,207.012
2,villeneuve,sainz,ferrari,3,Finished,0,1:15.749,207.258
3,villeneuve,hamilton,mercedes,4,Finished,0,1:16.167,206.120
4,villeneuve,russell,mercedes,8,Finished,0,1:16.418,205.443
5,villeneuve,leclerc,ferrari,19,Finished,0,1:15.901,206.843
6,villeneuve,ocon,alpine,7,Finished,0,1:17.110,203.600
7,villeneuve,bottas,alfa,11,Finished,0,1:17.010,203.864
8,villeneuve,zhou,alfa,10,Finished,0,1:16.927,204.084
9,villeneuve,alonso,alpine,2,Finished,0,1:16.578,205.014
10,villeneuve,stroll,aston_martin,17,Finished,0,1:17.421,202.782
11,villeneuve,ricciardo,mclaren,9,Finished,0,1:17.932,201.452
12,villeneuve,vettel,aston_martin,16,Finished,0,1:17.956,201.390
13,villeneuve,albon,williams,12,Finished,0,1:17.951,201.403
14,villeneuve,gasly,alphatauri,15,Finished,0,1:17.810,201.768
15,villeneuve,norris,mclaren,14,Finished,0,1:17.495,202.588
16,villeneuve,latifi,williams,18,Finished,0,1:18.540,199.893
17,villeneuve,kevin_magnussen,haas,5,Finished,0,1:18.046,201.158
18,villeneuve,tsunoda,alphatauri,20,Accident,0,1:18.309,200.482
19,villeneuve,mick_schumacher,haas,6,Engine,0,1:18.967,198.812
20,villeneuve,perez,red_bull,13,Gearbox,0,1:18.844,199.122
1,bahrain,vettel,ferrari,1,Finished,0,1:34.453,206.274
2,bahrain,bottas,mercedes,3,Finished,0,1:33.740,207.842
3,bahrain,hamilton,mercedes,9,Finished,0,1:33.953,207.371
4,bahrain,gasly,toro_rosso,5,Finished,0,1:34.863,205.382
5,bahrain,kevin_magnussen,haas,6,Finished,0,1:34.327,206.549
6,bahrain,hulkenberg,renault,7,Finished,0,1:34.667,205.807
7,bahrain,alonso,mclaren,13,Finished,0,1:34.168,206.898
8,bahrain,vandoorne,mclaren,14,Finished,0,1:35.131,204.803
9,bahrain,ericsson,sauber,17,Finished,0,1:35.093,204.885
10,bahrain,ocon,force_india,8,Finished,0,1:35.043,204.993
11,bahrain,sainz,renault,10,Finished,0,1:35.535,203.937
12,bahrain,leclerc,sauber,19,Finished,0,1:35.075,204.924
13,bahrain,grosjean,haas,16,Finished,0,1:34.689,205.759
14,bahrain,stroll,williams,20,Finished,0,1:35.058,204.961
15,bahrain,sirotkin,williams,18,Finished,0,1:34.053,207.151
16,bahrain,perez,force_india,12,Finished,0,1:35.266,204.513
17,bahrain,brendon_hartley,toro_rosso,11,Finished,0,1:34.563,206.034
18,bahrain,raikkonen,ferrari,2,Wheel,0,1:34.337,206.527
19,bahrain,max_verstappen,red_bull,15,Puncture,1,300,0
20,bahrain,ricciardo,red_bull,4,Electrical,1,300,0
1,catalunya,button,brawn,1,Finished,0,1:22.899,202.149
2,catalunya,barrichello,brawn,3,Finished,0,1:22.762,202.484
