actual,predicted
1,3.751141001942711
16,18.246954476991686
7,8.615058666444032
3,6.634432073284748
13,14.415535311738674
13,10.292648293684211
17,16.448745584786636
3,4.6389040214747785
21,17.93173515290627
6,14.117214786963814
4,10.001029017801619
5,7.668069445190951
9,5.306420340092513
21,19.43545448893654
9,10.915244467043026
3,2.8999969249133364
21,20.70375
11,8.387460358148513
2,1.6180189147360686
21,20.72006250724364
9,14.293229870139637
2,2.50902498144236
4,4.645345999131338
12,14.249064695710954
13,12.541422112559841
20,18.990833333333335
22,18.62034253150947
13,13.969114120809433
20,18.394527018067237
14,15.794772560322876
3,3.9415385547696986
8,10.110751026755631
7,6.676053561938449
23,20.618930356813244
5,9.496046253934455
17,16.355646471359087
11,10.229243547403629
20,20.11164661356161
13,14.959646853725058
8,8.157655099327808
15,14.326816818045003
4,4.368334219895542
20,19.60292334924928
12,10.267180130816435
3,4.271092918782607
16,17.859670749794727
8,5.546563090892944
23,21.129061506997356
17,11.481814992389845
7,6.95114043102404
18,18.542724048592298
8,8.150736660277014
14,8.946552513592072
5,7.699088168098268
6,10.610577212279344
12,9.802467284638986
17,18.98135281770041
15,8.177049951904255
1,3.5142031462305443
15,17.845
19,14.605174041452006
10,11.169288087227745
3,2.766873198904698
20,19.158379540213062
11,5.790732840660254
4,4.366003436049668
14,11.036842105689338
14,6.959660855249157
9,11.182852507442048
7,13.130894440433465
24,20.709355509241714
12,13.928589138320474
5,5.882218067805195
10,10.454505469802173
12,12.799935475941268
12,13.745170980730508
10,12.79920625939083
7,9.394103460805594
20,19.89508317762826
11,7.669425004196154
14,14.218439385192939
15,17.54998067021994
10,13.944482920147498
4,4.4597053596056115
13,10.907543734037223
15,12.72577840384635
16,7.917613834547395
4,4.354634039430173
5,5.82465178053206
4,5.239560876908938
16,11.138961400878438
17,19.980861963842013
12,9.380315866364926
2,4.299923510043923
19,19.296667924615146
15,7.656061052919042
2,2.310626543557341
4,3.824891682469328
10,7.829473422729034
15,7.647321298407496
18,18.30997972385412
5,4.635418106926685
6,6.060178089924011
11,10.011412917204801
3,2.5084800671634744
18,11.392084477098606
8,11.26322190780747
17,18.286118532497422
9,8.6123203050983
2,3.026944210560562
11,11.266779790086854
20,19.14931500606945
2,1.8014910462642484
16,14.006510550977616
2,8.371980261190632
16,17.474018799595548
7,9.439201278413064
4,7.603253989796502
7,13.780940150598044
16,18.745756643636394
10,9.731479458883035
15,18.29477364420933
11,11.851828875228728
4,3.06746555229308
16,18.125577239573413
3,3.858237887285707
7,9.576948254260834
19,18.357506555841372
8,9.262178790587509
12,10.984755129623496
6,10.328817236615498
6,13.661184998535653
9,12.334310913069801
14,13.68554954767281
18,18.29841985940862
12,11.143060096744989
7,7.653038065700389
6,5.594691657862098
18,18.400817145356374
1,6.707654182990535
11,9.63666594948077
19,19.82016934719618
20,16.514043291455685
4,4.843563133572361
18,14.277515595655
15,13.997347413543332
2,3.095386952036966
13,12.987413580619977
19,18.653112985503263
21,16.304986328114307
22,20.01680972641629
6,9.458886283475422
2,3.7089073195440263
15,15.426164862329042
20,18.314464373048185
15,13.219645477045148
12,9.529710619239525
3,5.227515623385408
2,3.3536280748994733
4,5.329978639766535
8,12.860219260803184
2,1.3820292106681038
10,12.298453057604078
5,6.702039522554917
9,13.203458397203203
20,20.69938128829285
13,10.106919828377482
3,4.163783292178424
10,12.04135307258543
16,14.017655613749207
17,19.426182723372122
13,11.94390775317814
10,12.061022551789117
4,3.049306775020171
22,22.40139448258927
10,12.17195679805176
7,8.966505720789534
21,19.186923374644984
4,4.297116350552447
10,11.900451430487498
12,14.303355963457191
9,7.445842407274677
8,2.50546685586725
8,14.441038472998864
21,18.83347257811588
2,3.0714770009951065
19,16.231329024317244
18,18.16773146224356
17,13.47280319741319
11,12.194321384292543
10,11.138293916298874
11,9.688813335508934
14,12.213366167537208
20,17.814066307175327
8,11.996008401842435
2,3.665114995410687
16,9.064638163773187
4,11.852180011920268
3,3.152964738912936
19,18.39592180513456
8,7.243321292247399
20,20.56708274105963
8,9.196111313206153
6,5.34460932724497
4,8.11198324872283
8,12.902990893521963
15,6.662089555716693
7,9.610654925508195
15,9.132009554976133
6,7.709300472849527
16,16.231730836869076
9,11.280370085949821
12,12.65876854810536
17,17.991015062838553
14,13.561663890402281
4,8.165092979276581
14,13.444895489650019
24,20.26235747552751
9,13.154053316058002
7,7.158822673491324
8,7.902730465560775
14,9.109862279881435
8,7.155906138505566
3,6.572019080380938
13,13.737973703308844
5,9.239724125797043
14,12.775404109235168
15,12.801402728024216
1,12.23001661367456
10,13.004044710348948
19,17.88997095661518
10,9.96323047605319
4,2.9299237972629357
9,9.456165064074959
7,4.139396136440109
8,10.263499018479514
11,7.781999626370272
20,18.9556263853541
8,7.386391884381665
10,7.437477228851625
16,13.875506701440997
14,14.222945295029797
5,2.9793379716940036
17,18.482508270382585
16,18.568291190477098
17,14.44397405554389
23,19.48385442197079
2,2.5137306278412233
1,5.107813497521151
7,9.783770227259453
7,12.112501884648864
7,10.003140652135116
16,12.811367913721053
19,15.482258706575982
7,4.053070822883462
11,8.379196786000028
18,19.748487205112777
6,7.579290034781369
14,14.079499666869117
18,15.286853413361214
5,8.005867743505217
22,19.443217434202822
14,9.768179194429806
13,15.201288040112777
18,15.84028796127017
2,2.611318180070938
10,7.731373518532799
8,5.664159787729745
16,16.042787609166222
4,5.700493001205794
5,8.943106842972472
2,1.9763964295466132
4,12.177703565545379
7,10.453449300807776
18,15.165663225773033
18,16.48171587619323
14,17.45445106521515
20,20.118735926358003
3,3.613274244417409
17,17.89310535582083
19,18.66949926090078
9,6.516241416803194
6,7.882046068427285
17,14.364306040037043
3,6.851746913248617
23,21.072708525223394
16,17.81443700005872
2,2.2014007968692786
2,3.881732893090715
5,3.9199740934786345
15,12.534499288531208
3,5.301284963511823
16,18.6324864024733
8,2.3781060127218097
16,14.963990536849558
5,7.473605158313981
11,8.002297661957325
15,18.413373131058947
16,19.766108464555593
8,8.330373759477325
2,4.323896895838933
14,9.93661481919115
5,3.7463145447774058
10,13.14886511674704
22,19.45162392103754
17,16.090774656152103
9,13.886730661623263
