feature,importance
driver_gene,0.0
driver_markus_winkelhock,0.0
status_Battery,-2.5221699635480376e-07
status_Exhaust,-1.5833504553253165e-06
status_Collision damage,-3.1693845659486188e-06
driver_bruni,-3.668748698526514e-06
constructor_spyker_mf1,-4.068704445225891e-06
status_Mechanical,-6.9615451030458075e-06
status_Steering,-7.68012843703758e-06
status_Electronics,-8.335380975754703e-06
driver_matta,-8.600178752793397e-06
driver_monteiro,-1.0585462897561015e-05
status_Overheating,-1.8229560519467115e-05
circuit_zandvoort,-1.9226310542874715e-05
status_Out of fuel,-2.4905730090818422e-05
status_Water pressure,-2.5275525827384016e-05
driver_panis,-2.706983056746104e-05
driver_stevens,-3.536960885512919e-05
circuit_nurburgring,-3.7406556155472614e-05
driver_ide,-4.225717432340126e-05
driver_lawson,-4.452894509796579e-05
status_Power Unit,-4.70614969591221e-05
driver_rossi,-5.07267792499988e-05
status_Hydraulics,-5.73223795150124e-05
driver_baumgartner,-7.643722004386788e-05
driver_piastri,-7.806370380256667e-05
status_Rear wing,-8.66909298351537e-05
driver_wehrlein,-0.00011830278141609086
constructor_racing_point,-0.00014256613311669497
driver_karthikeyan,-0.00016859148214658503
driver_doornbos,-0.00017104963011109752
driver_albers,-0.0001881764426061139
status_Vibrations,-0.00019447691450391602
driver_jules_bianchi,-0.0002038212535820705
driver_merhi,-0.00020874083563451328
driver_chilton,-0.00021441316570602886
driver_ocon,-0.0002480351507413214
constructor_mf1,-0.0002743995779180608
circuit_monaco,-0.00033233385127870994
driver_petrov,-0.00039271968129357405
driver_rosa,-0.0004132123762493389
driver_sirotkin,-0.0004760800094553819
driver_vergne,-0.00048329614049782423
circuit_losail,-0.0005645000175976467
driver_piquet_jr,-0.0005899424678287967
status_Accident,-0.0005900560430738722
circuit_red_bull_ring,-0.0006054814840118717
driver_leclerc,-0.0006195127909964348
driver_norris,-0.0007929745481164652
circuit_yeongam,-0.0008146969287981864
circuit_shanghai,-0.0008547396573220123
driver_buemi,-0.000970473066380606
circuit_portimao,-0.0009710480884905337
circuit_magny_cours,-0.0010063662174207622
circuit_marina_bay,-0.0010446831321339722
status_Engine,-0.0010602898163052821
circuit_ricard,-0.0010687757106279782
circuit_sochi,-0.0011159671316562036
circuit_bahrain,-0.0011193249385859528
fastest_lap_missing,-0.0011840761697327284
driver_russell,-0.001393954106716322
driver_barrichello,-0.0014523837643407144
constructor_aston_martin,-0.0014692201218846623
circuit_valencia,-0.0015537072342055147
constructor_bar,-0.001892813463731402
driver_zonta,-0.0023069422315917356
circuit_spa,-0.0026997145016976363
constructor_brawn,-0.0033913713623123344
