feature,importance
status_Finished,1.9594243884787321
grid_pos,1.173921482564276
fastest_lap_avg_speed,0.4365472240121697
fastest_lap,0.21039402836055526
constructor_red_bull,0.09839923079674584
circuit_monza,0.05645696690730371
constructor_mercedes,0.053888196172387604
constructor_ferrari,0.05192069734161038
constructor_lotus_racing,0.045831150149303126
circuit_silverstone,0.03901620982814515
constructor_hrt,0.03772921453353835
constructor_caterham,0.033833106486737874
circuit_monaco,0.02833462852856976
constructor_marussia,0.027783176553383183
constructor_haas,0.02747075342284715
circuit_albert_park,0.02664049230632446
constructor_manor,0.026463682835987525
constructor_sauber,0.024291684151967273
constructor_virgin,0.021363644030355556
circuit_indianapolis,0.02098458400078691
circuit_red_bull_ring,0.020621673902650663
circuit_hockenheimring,0.02004422078258474
constructor_toro_rosso,0.019649591988299343
circuit_suzuka,0.019590337613152053
constructor_alfa,0.018765356072015925
constructor_mclaren,0.018289293310020494
circuit_villeneuve,0.01762959459472411
constructor_lotus_f1,0.0173072565678019
driver_max_verstappen,0.01724617239011006
circuit_interlagos,0.01663581861710073
driver_latifi,0.014890460400200567
circuit_spa,0.014135621173069834
driver_kevin_magnussen,0.014109677804732091
driver_hulkenberg,0.013549686168076969
driver_alonso,0.013451788114443364
status_Collision,0.013182792353880934
circuit_catalunya,0.012963610190659346
driver_hamilton,0.012668790299019905
driver_klien,0.012477093533527484
driver_raikkonen,0.012336293351432293
circuit_istanbul,0.012141380345761421
status_Disqualified,0.011099647589100758
fastest_lap_missing,0.010997210366929622
driver_sainz,0.010986639118987895
circuit_marina_bay,0.010091340937230964
driver_massa,0.00998502434687607
circuit_sochi,0.009696596371505217
constructor_toyota,0.009292592950781175
circuit_baku,0.009032985164979968
driver_bottas,0.008888747826392152
circuit_bahrain,0.008839902439773261
circuit_imola,0.008375680929297458
constructor_super_aguri,0.008347776801600527
constructor_alpine,0.007971832350164298
constructor_force_india,0.007813328807196162
circuit_yas_marina,0.007459560007405752
circuit_ricard,0.007267331703142377
circuit_shanghai,0.0068328474831019555
driver_tsunoda,0.006707413689674624
constructor_minardi,0.006669972387661272
circuit_losail,0.0065113727175495125
driver_vettel,0.006449980246167719
status_Withdrew,0.0062790472986054
driver_sutil,0.006185918378056243
driver_coulthard,0.005551745488129223
driver_mazepin,0.005528991421123975
driver_zhou,0.005434815779512636
constructor_williams,0.005313263722879569
driver_ericsson,0.005168998620497867
driver_kubica,0.005060648393402767
driver_mick_schumacher,0.004959200027101573
driver_jolyon_palmer,0.004664535178545126
driver_kobayashi,0.004598209581174384
circuit_buddh,0.00449744506339309
circuit_americas,0.004209521510590397
driver_sato,0.004125312770863321
constructor_jordan,0.004115381451080369
driver_ocon,0.003989802100748641
constructor_bmw_sauber,0.003949284909912842
driver_maldonado,0.003935645850143698
driver_vandoorne,0.0038953150911320124
driver_perez,0.0038473371297964134
circuit_sepang,0.0037534341473290933
circuit_hungaroring,0.0036253227682599308
status_Collision damage,0.003614976945231163
driver_sargeant,0.0036128153970684806
constructor_bar,0.003556519331760155
driver_panis,0.003442157969673465
constructor_brawn,0.003378261714803399
constructor_alphatauri,0.003356232652929325
driver_heidfeld,0.003314335083006181
driver_gutierrez,0.003304345051685331
driver_brendon_hartley,0.0033020215423305464
driver_trulli,0.0032282677091425072
constructor_honda,0.003213519565259926
status_Gearbox,0.0031744419212892615
driver_garde,0.0030487623197260837
status_Retired,0.0030445766072227263
driver_ricciardo,0.0029931532440256705
driver_ambrosio,0.002988088762751406
driver_wehrlein,0.002899867993712313
circuit_fuji,0.0027547841946359507
driver_bruni,0.00274313143353746
status_Engine,0.0026970256081403133
driver_sirotkin,0.0026598721087721434
status_Brakes,0.0025464153891367135
constructor_aston_martin,0.0025426054455163437
status_Clutch,0.0024953732281847163
driver_albers,0.002489343605250438
driver_giovinazzi,0.00237051168398601
constructor_jaguar,0.0021934725412015243
driver_ralf_schumacher,0.002184250545428412
driver_norris,0.002174141671604746
circuit_mugello,0.0021734942919697355
circuit_jeddah,0.0021687720542003406
constructor_renault,0.002157882777492004
circuit_portimao,0.00214742552734406
driver_resta,0.002064512380086203
circuit_valencia,0.0020544734847643296
driver_davidson,0.002022205352869744
status_Power Unit,0.0019561021592532147
constructor_spyker,0.001933020679717412
constructor_spyker_mf1,0.0018410430884025163
driver_glock,0.00179729720904791
driver_doornbos,0.001789050953769955
status_Suspension,0.001705662076252734
driver_nasr,0.0016780804509939796
driver_haryanto,0.0016244841071870741
circuit_miami,0.0016095375050501736
driver_albon,0.0015990418000622064
driver_michael_schumacher,0.0015630922094045374
driver_villeneuve,0.0015374202499308432
driver_yamamoto,0.001406460286357092
driver_pietro_fittipaldi,0.001394704992781426
status_Hydraulics,0.0012468394977504626
circuit_zandvoort,0.0012027443629380574
circuit_magny_cours,0.0011963820386256875
status_Accident,0.0011960859608458386
status_Spun off,0.0011858641211326848
driver_rosberg,0.0011237083493890853
driver_de_vries,0.0011202213071586087
status_Exhaust,0.0010523459716222483
driver_webber,0.0010251053936870757
driver_lawson,0.0009946009012554934
status_Electrical,0.0009924439835483855
driver_chilton,0.0009828087395490127
circuit_rodriguez,0.0009823759006052147
constructor_rb,0.0009261834579890049
status_Oil leak,0.0008440515284886985
constructor_mf1,0.0008034837639976811
status_Water pressure,0.000791838907205511
status_Transmission,0.0007833568780755585
driver_jules_bianchi,0.0007777300649766339
driver_montagny,0.0007592320202510549
status_Did not qualify,0.0007577624378895642
driver_kvyat,0.0007413993148924547
circuit_vegas,0.0007145804267024936
status_Wheel,0.0006932758419751384
driver_monteiro,0.0006742171980262501
driver_montoya,0.0006440105249553518
driver_stroll,0.0005676563109457522
status_Rear wing,0.0005002464119241879
driver_button,0.0004939593875048053
driver_colapinto,0.000472733763414368
status_Technical,0.00043278286055064007
status_Power loss,0.0003325609733246804
status_Overheating,0.0002869237656466073
driver_russell,0.00028553548970262633
driver_chandhok,0.00024903991794364975
status_Drivetrain,0.00023906506756881106
status_Cooling system,0.00023597519154034964
status_Refuelling,0.00021705539356120518
driver_kovalainen,0.0001842394306376338
status_Vibrations,0.00017309244060763617
status_Electronics,0.00017257745698371352
status_Pneumatics,0.00016362232792039856
status_Seat,0.00015192934066154962
status_Broken wing,0.00014335724252365623
status_Handling,0.00013316401093277364
driver_matta,0.0001167858467879146
status_Fuel pump,0.00011362659469349445
