feature,importance
driver_pantano,-6.011600343569512e-06
driver_glock,-8.852534243741772e-06
driver_giovinazzi,-1.0026060676437965e-05
status_Withdrew,-1.2888986634251864e-05
driver_bruni,-1.6225938100644655e-05
driver_webber,-1.704625281377936e-05
driver_monteiro,-3.7480131098721614e-05
circuit_losail,-5.328257000440928e-05
status_Driveshaft,-6.529261137151465e-05
driver_sato,-6.649269321910012e-05
driver_brendon_hartley,-8.624174183280431e-05
driver_villeneuve,-0.00010138161725876671
circuit_yeongam,-0.00011745506640652437
constructor_minardi,-0.00011958448567903624
circuit_americas,-0.0001207434343443392
driver_merhi,-0.00013308401162217542
driver_nakajima,-0.00013660316967305518
driver_bruno_senna,-0.00014760285910391245
driver_jules_bianchi,-0.000160123816372737
circuit_bahrain,-0.00018029865017101798
status_Gearbox,-0.0002077906339464697
driver_lawson,-0.00021252780893243894
status_Pneumatics,-0.0002251449414909068
driver_ricciardo,-0.00023406358480886346
driver_ericsson,-0.0002352818303122728
status_Oil pressure,-0.00026727132325223837
status_Collision,-0.00026846964492430734
constructor_super_aguri,-0.0002779937256462528
driver_vergne,-0.000281782234971395
status_Transmission,-0.00028694849945303246
constructor_toro_rosso,-0.0003157717693518691
constructor_jordan,-0.0003175186279956055
driver_liuzzi,-0.00032048103715784924
driver_zonta,-0.00032248891863315696
driver_trulli,-0.0003356809317020648
status_Spun off,-0.0003370020182281941
driver_piastri,-0.00034805360515441917
constructor_racing_point,-0.00038485593416583976
circuit_imola,-0.00043119001003733004
circuit_red_bull_ring,-0.0005117895071424349
constructor_spyker,-0.0005367001766916957
status_Undertray,-0.0005678154555587511
circuit_rodriguez,-0.0006067798799344714
circuit_catalunya,-0.0006091397797727716
driver_albon,-0.0006094847388660174
driver_ralf_schumacher,-0.0007019224692338177
constructor_rb,-0.0007202176024660556
circuit_jeddah,-0.00072146765713752
driver_sargeant,-0.0007609435861080094
driver_bourdais,-0.0007714952338586656
status_Fuel pump,-0.0007945891099650382
driver_michael_schumacher,-0.000794606305452028
driver_buemi,-0.0008767843196541669
status_Mechanical,-0.0009538892174441038
status_Technical,-0.0011690390295311381
circuit_istanbul,-0.0013043421549275625
circuit_portimao,-0.0014851995523396332
driver_fisichella,-0.001515931345470678
driver_grosjean,-0.001587201226009949
circuit_miami,-0.0016769532270537902
driver_stroll,-0.001754800969902748
circuit_hungaroring,-0.0017903592298404991
driver_russell,-0.0018195370591389981
driver_kovalainen,-0.0021544627723416366
status_Collision damage,-0.0023324053682929335
circuit_yas_marina,-0.002517309729787387
circuit_magny_cours,-0.002673075283217541
circuit_zandvoort,-0.003833510192436851
